區域別,出生數計,出生數男,出生數女,生母年齡未滿15歲,生母年齡15至19歲,生母年齡20至24歲,生母年齡25至29歲,生母年齡30至34歲,生母年齡35至39歲,生母年齡40至44歲,生母年齡45至49歲,生母年齡50歲以上
臺南市,8870,4672,4198,0,80,624,1931,3148,2396,654,33,4
新營區,309,172,137,0,4,25,69,97,89,25,0,0
鹽水區,88,50,38,0,2,9,26,26,20,5,0,0
白河區,86,43,43,0,1,9,30,27,15,4,0,0
柳營區,98,51,47,0,2,10,31,33,17,5,0,0
後壁區,71,37,34,0,1,5,21,23,14,7,0,0
東山區,70,34,36,0,2,9,22,25,11,1,0,0
麻豆區,181,94,87,0,0,12,46,66,47,10,0,0
下營區,80,41,39,0,1,10,25,23,15,6,0,0
六甲區,79,45,34,0,1,7,23,24,16,8,0,0
官田區,110,58,52,0,1,9,31,40,26,3,0,0
大內區,22,16,6,0,1,6,7,4,4,0,0,0
佳里區,290,145,145,0,4,20,59,120,69,18,0,0
學甲區,87,49,38,0,3,9,22,23,26,4,0,0
西港區,139,68,71,0,2,14,37,45,31,9,1,0
七股區,84,40,44,0,2,9,19,31,17,5,1,0
將軍區,67,38,29,0,0,8,21,20,14,3,1,0
北門區,23,12,11,0,0,3,6,7,5,2,0,0
新化區,216,116,100,0,1,21,57,69,51,17,0,0
善化區,340,176,164,0,1,23,72,120,102,22,0,0
新市區,261,133,128,0,3,13,62,88,75,19,1,0
安定區,166,78,88,0,0,13,42,73,33,4,1,0
山上區,32,22,10,0,0,2,7,15,8,0,0,0
玉井區,52,29,23,0,1,6,12,16,14,3,0,0
楠西區,27,15,12,0,0,5,12,4,4,2,0,0
南化區,42,23,19,0,1,10,10,14,5,2,0,0
左鎮區,7,3,4,0,0,1,0,1,3,2,0,0
仁德區,375,190,185,0,6,18,77,132,103,37,1,1
歸仁區,387,182,205,0,8,41,96,120,94,28,0,0
關廟區,139,74,65,0,4,11,36,52,30,6,0,0
龍崎區,11,9,2,0,0,1,1,6,2,1,0,0
永康區,1355,729,626,0,8,76,275,494,402,96,4,0
東區,711,386,325,0,3,30,132,251,216,73,6,0
南區,515,272,243,0,4,42,98,184,131,52,3,1
北區,565,303,262,0,2,32,92,216,171,50,2,0
安南區,1148,596,552,0,9,71,236,439,313,73,6,1
安平區,343,181,162,0,1,26,72,105,108,28,2,1
中西區,294,162,132,0,1,8,47,115,95,24,4,0
